_timestamp,average_temp,max_temp,min_temp
81201,38.039215,40.392159,-3.137255
181835,38.039215,40.392159,-3.137255
281086,38.039215,40.392159,-3.137255
381070,38.039215,40.392159,-3.137255
481159,38.039215,40.392159,-3.137255
581832,38.039215,40.392159,-3.137255
681055,38.039215,40.392159,-3.137255
781181,38.039215,40.392159,-2.745098
884293,38.039215,40.392159,-2.745098
981694,38.039215,40.392159,-2.745098
1081404,38.039215,40.392159,-2.745098
1181026,38.039215,40.392159,-2.745098
1281050,38.039215,40.392159,-2.745098
1381206,38.039215,40.392159,-3.137255
1581370,38.039215,40.392159,-2.745098
1781312,38.039215,40.392159,-2.745098
1881487,38.039215,40.392159,-2.745098
1981225,38.039215,40.392159,-3.137255
2181202,38.039215,40.392159,-3.137255
2281859,38.039215,40.392159,-3.137255
2388790,38.039215,40.392159,-3.137255
2481435,38.039215,40.392159,-3.137255
2681440,38.039215,40.392159,-3.137255
2781005,38.039215,40.392159,-2.745098
2881481,38.039215,40.392159,-2.745098
2981205,38.039215,40.392159,-3.137255
3081017,38.039215,40.392159,-3.137255
3180978,38.039215,40.392159,-3.137255
3281109,38.039215,40.392159,-3.137255
3482295,38.039215,40.392159,-2.745098
3581808,38.039215,40.392159,-2.745098
3681923,38.039215,40.392159,-2.745098
3781105,38.039215,40.392159,-2.745098
3881286,38.039215,40.392159,-2.745098
3981758,38.039215,40.392159,-2.745098
4081349,38.039215,40.392159,-2.745098
4181041,38.039215,40.392159,-3.137255
4281355,38.039215,40.392159,-3.137255
4381984,38.039215,40.392159,-2.745098
4481403,38.039215,40.392159,-2.745098
4581071,38.039215,40.392159,-2.745098
4681344,38.039215,40.392159,-2.745098
4781182,38.039215,40.392159,-2.745098
4881168,38.039215,40.392159,-2.745098
4982222,38.039215,40.392159,-2.745098
5082530,38.039215,40.392159,-2.745098
5181159,38.039215,40.392159,-2.745098
5482341,38.039215,40.392159,-2.745098
5682882,38.039215,40.392159,-2.745098
5781007,38.039215,40.392159,-2.745098
5881240,38.039215,40.392159,-2.745098
5981668,38.039215,40.392159,-2.745098
6081629,38.039215,40.392159,-2.745098
6181376,38.039215,40.392159,-2.745098
6281085,38.039215,40.392159,-2.745098
6381243,38.039215,40.392159,-2.745098
6581296,38.039215,40.392159,-2.745098
6681787,38.039215,40.392159,-2.745098
6781934,38.039215,40.392159,-2.745098
6884738,38.039215,40.392159,-2.745098
7085605,38.039215,40.392159,-2.745098
7280982,38.039215,40.392159,-2.745098
7381091,38.039215,40.392159,-2.745098
7481878,38.039215,40.392159,-2.745098
7581059,38.039215,40.392159,-2.745098
7681044,38.039215,40.392159,-2.745098
7782481,38.039215,40.392159,-2.745098
7881212,38.039215,40.392159,-2.745098
7981644,38.039215,40.392159,-2.745098
8081052,38.039215,40.392159,-2.745098
8181065,38.039215,40.392159,-2.745098
8281729,38.039215,40.392159,-2.745098
8381071,38.039215,40.392159,-2.745098
8481382,38.039215,40.392159,-2.745098
8681107,38.039215,40.392159,-2.745098
8781099,38.039215,40.392159,-2.745098
8881420,38.039215,40.392159,-2.745098
8981802,38.039215,40.392159,-2.745098
9081020,38.039215,40.392159,-2.745098
9181086,38.039215,40.392159,-2.745098
9281382,38.039215,40.392159,-2.745098
9482710,38.039215,40.392159,-2.745098
9682059,38.039215,40.392159,-2.745098
9780981,38.039215,40.392159,-2.745098
9881428,38.039215,40.392159,-2.745098
9981458,38.039215,40.392159,-2.745098
10081048,38.039215,40.392159,-2.745098
10181304,38.039215,40.392159,-2.745098
10281299,38.039215,40.392159,-2.745098
10481102,38.039215,40.392159,-2.745098
10581012,38.039215,40.392159,-2.745098
10681634,38.039215,40.392159,-2.745098
10781728,38.039215,40.392159,-2.745098
10881119,38.039215,40.392159,-2.745098
10981115,38.039215,40.392159,-2.745098
11083019,38.039215,40.392159,-2.745098
11181233,38.039215,40.392159,-2.745098
11280990,38.039215,40.392159,-2.745098
11381851,38.039215,40.392159,-2.745098
11481545,38.039215,40.392159,-2.745098
11581105,38.039215,40.392159,-2.745098
11681423,38.039215,40.392159,-2.745098
11781836,38.039215,40.392159,-2.745098
11881338,38.039215,40.392159,-2.745098
11981615,38.039215,40.392159,-2.745098
12081297,38.039215,40.392159,-2.745098
12181100,38.039215,40.392159,-2.745098
12281226,38.039215,40.392159,-2.745098
12381830,38.039215,40.392159,-2.745098
12481219,38.039215,40.392159,-2.745098
12581233,38.039215,40.392159,-2.745098
12681344,38.039215,40.392159,-2.745098
12881022,38.039215,40.392159,-2.745098
13081057,38.039215,40.392159,-2.745098
13181917,38.039215,40.392159,-2.745098
13281194,38.039215,40.392159,-2.745098
13381174,38.039215,40.392159,-2.745098
13496243,38.039215,40.392159,-2.745098
13582591,38.039215,40.392159,-2.745098
13681166,38.039215,40.392159,-2.745098
13782076,38.039215,40.392159,-2.745098
14281048,38.039215,40.392159,-2.745098
14381094,38.039215,40.392159,-2.745098
14481079,38.039215,40.392159,-2.745098
14581090,38.039215,40.392159,-2.745098
14781244,38.039215,40.392159,-2.745098
14881280,38.039215,40.392159,-2.745098
15082238,38.039215,40.392159,-2.745098
15180984,38.039215,40.392159,-2.745098
15381524,38.039215,40.392159,-2.745098
15481629,38.039215,40.392159,-2.745098
15582268,38.039215,40.392159,-2.745098
15784884,38.039215,40.392159,-2.745098
15881675,38.039215,40.392159,-2.745098
15985461,38.039215,40.392159,-2.745098
16081979,38.039215,40.392159,-2.745098
16184520,38.039215,40.392159,-2.745098
16381267,38.039215,40.392159,-2.745098
16481189,38.039215,40.392159,-2.745098
16581164,38.039215,40.392159,-2.745098
16681165,38.039215,40.392159,-2.745098
16781453,38.039215,40.392159,-2.745098
16881016,38.039215,40.392159,-2.745098
16981166,38.039215,40.392159,-2.745098
17083112,38.039215,40.392159,-2.745098
17181657,38.039215,40.392159,-2.745098
17381441,38.039215,40.392159,-2.745098
17482059,38.039215,40.392159,-2.745098
17581248,38.039215,40.392159,-2.745098
17684579,38.039215,40.392159,-2.745098
17781242,38.039215,40.392159,-2.745098
17881129,38.039215,40.392159,-2.745098
17981290,38.039215,40.392159,-2.745098
18081082,38.039215,40.392159,-2.745098
18181361,38.039215,40.392159,-2.745098
18380974,38.039215,40.392159,-2.745098
18481381,38.039215,40.392159,-2.745098
18581561,38.039215,40.392159,-2.745098
18681118,38.039215,40.392159,-2.745098
18781497,38.039215,40.392159,-2.745098
18881197,38.039215,40.392159,-2.745098
19082610,38.039215,40.392159,-2.745098
19181230,38.039215,40.392159,-2.745098
19281195,38.039215,40.392159,-2.745098
19381883,38.039215,40.392159,-2.745098
19581086,38.039215,40.392159,-2.745098
19781161,38.039215,40.392159,-2.745098
19881667,38.039215,40.392159,-2.745098
19981779,38.039215,40.392159,-2.745098
20180989,38.039215,40.392159,-2.745098
20381354,38.039215,40.392159,-2.745098
20481247,38.039215,40.392159,-2.745098
20581057,38.039215,40.392159,-2.745098
20681120,38.039215,40.392159,-2.745098
20781478,38.039215,40.392159,-2.745098
20982279,38.039215,40.392159,-2.745098
21081075,38.039215,40.392159,-2.745098
21181857,38.039215,40.392159,-2.745098
21281982,38.039215,40.392159,-2.745098
21381025,38.039215,40.392159,-2.745098
21481861,38.039215,40.392159,-2.745098
21882243,38.039215,40.392159,-2.745098
21981385,38.039215,40.392159,-2.745098
22081541,38.039215,40.392159,-2.745098
22181696,38.039215,40.392159,-2.745098
22381136,38.039215,40.392159,-2.745098
22581179,38.039215,40.392159,-2.745098
22781550,38.039215,40.392159,-2.745098
22881433,38.039215,40.392159,-2.745098
22981450,38.039215,40.392159,-2.745098
23085210,38.039215,40.392159,-2.745098
23197454,38.039215,40.392159,-2.745098
23281149,38.039215,40.392159,-2.745098
23481280,38.039215,40.392159,-2.745098
23581951,38.039215,40.392159,-2.745098
23681041,38.039215,40.392159,-2.745098
23781492,38.039215,40.392159,-2.745098
23882113,38.039215,40.392159,-2.745098
23983080,38.039215,40.392159,-2.745098
24081195,38.039215,40.392159,-2.745098
24181071,38.039215,40.392159,-2.745098
24281060,38.039215,40.392159,-2.745098
24481098,38.039215,40.392159,-2.745098
24681415,38.039215,40.392159,-2.745098
24782133,38.039215,40.392159,-2.745098
24881493,38.039215,40.392159,-2.745098
24981288,38.039215,40.392159,-2.745098
25180989,38.039215,40.392159,-2.745098
25281394,38.039215,40.392159,-2.745098
25385142,38.039215,40.392159,-2.745098
25581715,38.039215,40.392159,-2.745098
25681325,38.039215,40.392159,-2.745098
25782040,38.039215,40.392159,-2.745098
25881380,38.039215,40.392159,-2.745098
25981964,38.039215,40.392159,-2.745098
26082186,38.039215,40.392159,-2.745098
26181108,38.039215,40.392159,-2.745098
26381041,38.039215,40.392159,-2.745098
26582123,38.039215,40.392159,-2.745098
26681095,38.039215,40.392159,-2.745098
26781407,38.039215,40.392159,-2.745098
26981164,38.039215,40.392159,-2.745098
